"term" "model" "estimate" "std.error" "error" "error2" "within_95" "proportion"
"1" "(Intercept)" "Data
limited
(no prior)" 5.00955540681784 0.193692353296806 0.00955540681784098 0.0477785337424333 86 0.86
"2" "as.factor(year)2011" "Data
limited
(no prior)" 0.102036377155421 0.0685062296203031 0.00203637715542117 0.00474615845847216 92 0.92
"3" "as.factor(year)2012" "Data
limited
(no prior)" 0.00405424503909176 0.0666966215918009 0.00405424503909176 0.00432740255263492 98 0.98
"4" "as.factor(year)2013" "Data
limited
(no prior)" 0.00221442008110502 0.0763219498974772 0.00221442008110502 0.00606140899351608 95 0.95
"5" "as.factor(year)2014" "Data
limited
(no prior)" 0.200585019283809 0.0666778904195257 0.000585019283809295 0.00343863953493024 98 0.98
"6" "as.factor(year)2015" "Data
limited
(no prior)" 0.206351258564659 0.0666905479384285 0.00635125856465933 0.00313661149123398 98 0.98
"7" "log_depth_sc" "Data
limited
(no prior)" 0.99928261275003 0.0414991423192754 -0.000717387249969691 0.00195023409159425 94 0.94
"8" "log_depth_sc2" "Data
limited
(no prior)" -0.249649588921466 0.0220823342507774 0.000350411078533754 0.000620000232791535 90 0.9
"9" "mi-delta" "Data
limited
(no prior)" 2.0407024490128 0.161351099212516 0.0407024490128027 0.0315854809744081 88 0.88
"10" "mi-Eo" "Data
limited
(no prior)" 0.302331948215095 0.0626401248690729 0.00233194821509547 0.00354030891925517 98 0.98
"11" "mi-s50" "Data
limited
(no prior)" 1.98242465295563 0.148956171455767 -0.0175753470443708 0.0215440825709815 96 0.96
"12" "mi-smax" "Data
limited
(no prior)" 4.06450964095133 0.248692116325202 0.0645096409513259 0.0799173587880287 94 0.94
"13" "phi" "Data
limited
(no prior)" 6.99707949089472 NA -0.00292050910528059 0.0300287369810115 94 0.94
"14" "range" "Data
limited
(no prior)" 0.285845335260459 NA -0.0141546647395406 0.00940592671369759 90 0.9
"15" "sigma_O" "Data
limited
(no prior)" 0.465259778000534 NA -0.034740221999466 0.00833916199455018 91 0.91
"16" "tweedie_p" "Data
limited
(no prior)" 1.49847705920379 NA -0.0015229407962089 5.94661027744927e-05 95 0.95
"17" "(Intercept)" "Data Rich
(Correct
prior)" 5.00963802852295 0.193589503957133 0.0096380285229499 0.0477301822745029 86 0.86
"18" "as.factor(year)2011" "Data Rich
(Correct
prior)" 0.102021005720328 0.0685036822059329 0.00202100572032791 0.00474139132853316 92 0.92
"19" "as.factor(year)2012" "Data Rich
(Correct
prior)" 0.00405708024498747 0.0666945549296181 0.00405708024498747 0.0043255518149718 97 0.97
"20" "as.factor(year)2013" "Data Rich
(Correct
prior)" 0.0022231262991635 0.076320170873192 0.0022231262991635 0.00605494770888059 95 0.95
"21" "as.factor(year)2014" "Data Rich
(Correct
prior)" 0.200614228415684 0.0666755573729837 0.000614228415683963 0.00343507890918916 98 0.98
"22" "as.factor(year)2015" "Data Rich
(Correct
prior)" 0.206338831339671 0.0666885208484447 0.0063388313396707 0.00313623135212505 98 0.98
"23" "log_depth_sc" "Data Rich
(Correct
prior)" 0.999427942314092 0.0407362039985375 -0.000572057685907544 0.00185968640989792 95 0.95
"24" "log_depth_sc2" "Data Rich
(Correct
prior)" -0.249633019563816 0.0220670131974296 0.000366980436184014 0.000617751787090957 90 0.9
"25" "mi-delta" "Data Rich
(Correct
prior)" 2.04047504486767 0.160396048962929 0.0404750448676674 0.0308618562143016 89 0.89
"26" "mi-Eo" "Data Rich
(Correct
prior)" 0.302059781847271 0.0577587787481218 0.00205978184727128 0.00256188988748149 99 0.99
"27" "mi-s50" "Data Rich
(Correct
prior)" 1.98101162158922 0.140609055384486 -0.0189883784107827 0.0179430060268597 97 0.97
"28" "mi-smax" "Data Rich
(Correct
prior)" 4.06483743162062 0.245911895747563 0.0648374316206195 0.0783318756012247 93 0.93
"29" "phi" "Data Rich
(Correct
prior)" 6.99710134402301 NA -0.00289865597699281 0.0300274767210887 94 0.94
"30" "range" "Data Rich
(Correct
prior)" 0.285847355057843 NA -0.0141526449421575 0.00940964547201482 90 0.9
"31" "sigma_O" "Data Rich
(Correct
prior)" 0.465265115227928 NA -0.0347348847720724 0.00833898149360821 91 0.91
"32" "tweedie_p" "Data Rich
(Correct
prior)" 1.49847734996027 NA -0.00152265003972746 5.94708629806747e-05 95 0.95
"33" "(Intercept)" "Unusual
Case
(Incorrect
prior)" 5.00710820193288 0.19364398349256 0.00710820193288342 0.0478175202665376 86 0.86
"34" "as.factor(year)2011" "Unusual
Case
(Incorrect
prior)" 0.102065728657873 0.0685060788897265 0.00206572865787284 0.00475171482058103 92 0.92
"35" "as.factor(year)2012" "Unusual
Case
(Incorrect
prior)" 0.00402037820969353 0.0666967081025648 0.00402037820969353 0.00432834766713088 98 0.98
"36" "as.factor(year)2013" "Unusual
Case
(Incorrect
prior)" 0.00220225052128646 0.0763220028734072 0.00220225052128646 0.00606735774790727 95 0.95
"37" "as.factor(year)2014" "Unusual
Case
(Incorrect
prior)" 0.200536512954253 0.0666780242314679 0.000536512954252876 0.00344009282336264 98 0.98
"38" "as.factor(year)2015" "Unusual
Case
(Incorrect
prior)" 0.206333886852406 0.066690565335903 0.00633388685240594 0.00313267976019997 98 0.98
"39" "log_depth_sc" "Unusual
Case
(Incorrect
prior)" 0.996115609277375 0.0414158779293349 -0.00388439072262507 0.00195937624156611 96 0.96
"40" "log_depth_sc2" "Unusual
Case
(Incorrect
prior)" -0.249968096309598 0.0220613990349158 3.19036904017572e-05 0.000617509978843952 89 0.89
"41" "mi-delta" "Unusual
Case
(Incorrect
prior)" 2.04752828785722 0.161736689121114 0.0475282878572242 0.0323839074161893 89 0.89
"42" "mi-Eo" "Unusual
Case
(Incorrect
prior)" 0.312018185108195 0.0619989926411787 0.0120181851081954 0.00358902314075016 98 0.98
